raw_weighted_beta_variance,de_weighted_beta_variance,variance_reduction_fraction,raw_n_bins,de_n_bins,draw,n_gauges
0.3364924744813646,0.32179842850339047,0.04366827519879025,24,20,68,150
0.3326429975204611,0.32888581839158154,0.011294929269173828,24,19,69,150
0.3456988964057897,0.31713097450653976,0.08263816343143958,24,20,70,150
0.3905000749487875,0.3280233772645719,0.15999151265824765,24,19,71,150
0.3471706388374121,0.30590007611163145,0.11887688101731612,24,19,72,150
0.36883008020773106,0.3312846005904722,0.10179614308060944,24,21,73,150
0.40634224047274653,0.3397261311499891,0.16394089190741018,24,21,74,150
0.32182170040868374,0.3143960894256335,0.023073680157740716,24,21,75,150
0.33997765784014217,0.2726382552595348,0.19807008204130414,24,20,76,150
0.3621236337074279,0.3327844867025,0.0810196967940292,24,20,77,150
0.24741285866001955,0.250449101161324,-0.012271967260508047,24,19,78,150
0.2929429786899632,0.23708432347657638,0.19068098325205113,24,20,79,150
0.30347646157800506,0.29095787605836315,0.04125059800206006,24,20,80,150
0.3476201873596381,0.30647534991896924,0.1183614730582421,24,20,81,150
0.38266625131616117,0.36479869510497526,0.046692270744366285,24,20,82,150
0.33038575310865537,0.29232180307015143,0.11521062782021864,24,19,83,150
0.37845975851109176,0.3100699678888685,0.18070558119911428,24,19,84,150
0.40306987558781343,0.3427231095912367,0.14971787685341295,24,19,85,150
0.4094453043778051,0.3580847759896584,0.1254392902763762,24,20,86,150
0.34502375300535604,0.30799443392340614,0.10732397047856315,24,19,87,150
0.35465940149655667,0.2908278881192755,0.17997975834823848,24,20,88,150
0.30002866751228546,0.2693601404288191,0.10221865576298819,24,19,89,150
0.2889686859840578,0.2602492237986426,0.0993860704581658,24,21,90,150
0.3566235160044803,0.2851901003761739,0.20030483807862218,24,20,91,150
0.27691071543422957,0.2422894463237692,0.1250268306019506,24,20,92,150
0.3834485946084953,0.3541561691248986,0.07639205331683253,24,19,93,150
0.3583049690521527,0.3129464806827599,0.1265918485288735,24,19,94,150
0.3243459412606035,0.30008598739803855,0.07479653905418451,24,20,95,150
0.30086665966304127,0.2876162304403996,0.04404086925909852,24,20,96,150
0.32279333948733635,0.32049299132143627,0.007126380518115756,24,19,97,150
0.4424387344174757,0.3843668887460133,0.13125398197316748,24,20,98,150
0.3578512410075844,0.32609675702489893,0.08873654844196131,24,20,99,150
0.3063502773476148,0.23836252732038915,0.22192814909738148,24,20,100,150
0.33316626395185495,0.31507014733995853,0.05431557324336849,24,19,101,150
0.29439656748903104,0.2755945320645504,0.0638663540979674,24,20,102,150
0.3447427618262389,0.294067174465006,0.14699536284035158,24,21,103,150
0.3573349839470616,0.29330910132083654,0.17917608267459853,24,19,104,150
0.2546556130289542,0.2255314863500808,0.11436671798615325,24,20,105,150
0.34682434007797625,0.3414507100894545,0.01549380873128341,24,20,106,150
0.41849671378690173,0.36002571261023486,0.1397167510530089,24,20,107,150
0.35137400043483674,0.28864723226554023,0.1785185246821623,24,19,108,150
0.35043455621349456,0.29388006038848674,0.16138390127985333,24,21,109,150
0.32112768142476517,0.30304752422740666,0.05630208245250381,24,19,110,150
0.3786219900558635,0.3126639517003643,0.17420551391050332,24,20,111,150
0.22974547743173498,0.19613487803360238,0.14629493374083688,24,19,112,150
0.33394310494392226,0.33967028784361475,-0.017150175628432955,24,19,113,150
0.3267071437147648,0.31016284142163075,0.050639548633739734,24,21,114,150
0.33713457657383467,0.27773513659004073,0.17618910699533386,24,20,115,150
