series_id,scenario_group,target_tau_days,replicate,tau_acf_days,frequency,frequency_cpd,de,beta
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.311125578703704e-06,0.11328125000000003,0.25654513860668393,1.1814084222675478
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.356336805555555e-06,0.11718749999999994,0.2653915226965694,1.180930750294057
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.4015480324074076e-06,0.12109375000000001,0.2742379067864552,1.1933038834551835
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.446759259259259e-06,0.12499999999999997,0.2830842908763408,1.201031992617044
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.4919704861111116e-06,0.12890625000000006,0.2919306749662266,1.2050345683458084
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.5371817129629626e-06,0.13281249999999997,0.3007770590561121,1.2071148278648705
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.5823929398148137e-06,0.13671874999999992,0.3096234431459976,1.197334994681145
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.627604166666667e-06,0.14062500000000003,0.3184698272358835,1.1966277405131236
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.672815393518517e-06,0.1445312499999999,0.3273162113257688,1.2010280529746922
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.7180266203703689e-06,0.14843749999999986,0.33616259541565446,1.1967636660672551
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.7632378472222221e-06,0.15234375,0.3450089795055404,1.1960056911530799
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.808449074074073e-06,0.15624999999999992,0.35385536359542585,1.2097552893382137
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.8536603009259242e-06,0.16015624999999986,0.3627017476853114,1.2001731029421412
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.8988715277777775e-06,0.16406249999999997,0.3715481317751973,1.2030155612572655
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.9440827546296306e-06,0.16796875000000008,0.3803945158650832,1.2081968712327154
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,1.9892939814814817e-06,0.17187500000000003,0.3892408999549687,1.1993558839242107
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.034505208333333e-06,0.17578124999999997,0.3980872840448542,1.1861528194734114
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.0797164351851845e-06,0.17968749999999994,0.4069336681347398,1.2006894038963287
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.1249276620370377e-06,0.18359375000000006,0.4157800522246258,1.2006894038963287
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.170138888888889e-06,0.1875,0.42462643631451125,1.2107555132263466
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.21535011574074e-06,0.19140624999999994,0.4334728204043968,1.2107555132263466
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.2605613425925903e-06,0.1953124999999998,0.44231920449428214,1.2107555132263466
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.3057725694444445e-06,0.19921875,0.4511655885841682,1.2149165488325142
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,2.350983796296296e-06,0.20312499999999997,0.4600119726740538,1.2149165488325142
