gauge_id,n_models,rank_kendall_tau_nse_vs_beta,rank_kendall_p,best_nse_model,best_beta_model,best_nse_is_best_beta
30004,5,-0.19999999999999998,0.8166666666666667,global_lstm,seasonal_climatology,False
30005,4,-1.0,0.08333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
30011,4,0.0,1.0,rrmpg_hbvedu,rrmpg_gr4j,False
30012,5,-0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,global_lstm,False
30014,5,-0.39999999999999997,0.48333333333333334,rrmpg_gr4j,seasonal_climatology,False
30015,4,-1.0,0.08333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
31002,5,0.0,1.0,rrmpg_hbvedu,global_lstm,False
31006,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_gr4j,False
31010,4,-0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
31021,4,-0.3333333333333334,0.75,rrmpg_hbvedu,global_lstm,False
31023,4,0.3333333333333334,0.75,global_lstm,global_lstm,True
31025,5,-0.39999999999999997,0.48333333333333334,global_lstm,seasonal_ar1_null,False
32003,5,-0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,seasonal_climatology,False
32004,5,0.6,0.23333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
32006,5,0.0,1.0,rrmpg_hbvedu,global_lstm,False
33006,4,-0.3333333333333334,0.75,rrmpg_gr4j,global_lstm,False
33007,4,-0.3333333333333334,0.75,rrmpg_gr4j,seasonal_ar1_null,False
33012,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,global_lstm,False
33013,5,-0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,seasonal_climatology,False
33014,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
33018,5,0.39999999999999997,0.48333333333333334,global_lstm,global_lstm,True
33019,4,0.0,1.0,rrmpg_gr4j,global_lstm,False
33020,5,0.0,1.0,rrmpg_hbvedu,rrmpg_gr4j,False
33021,4,-0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
33022,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
33023,5,0.0,1.0,rrmpg_hbvedu,seasonal_climatology,False
33024,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,global_lstm,False
33026,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_gr4j,False
33028,5,0.6,0.23333333333333334,rrmpg_hbvedu,global_lstm,False
33029,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_gr4j,False
33031,4,-0.6666666666666669,0.3333333333333333,global_lstm,seasonal_ar1_null,False
33032,4,1.0,0.08333333333333333,seasonal_ar1_null,seasonal_ar1_null,True
33033,4,-0.6666666666666669,0.3333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
33034,4,0.0,1.0,rrmpg_hbvedu,global_lstm,False
33035,5,-0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_gr4j,False
33039,5,0.39999999999999997,0.48333333333333334,rrmpg_gr4j,rrmpg_hbvedu,False
33053,5,-0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,global_lstm,False
33054,4,0.0,1.0,rrmpg_hbvedu,seasonal_ar1_null,False
33058,5,0.7999999999999999,0.08333333333333333,rrmpg_hbvedu,rrmpg_hbvedu,True
34002,5,0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,rrmpg_hbvedu,True
34003,4,0.3333333333333334,0.75,rrmpg_gr4j,rrmpg_hbvedu,False
34004,4,0.3333333333333334,0.75,rrmpg_hbvedu,rrmpg_hbvedu,True
34005,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,rrmpg_hbvedu,True
34006,5,-0.39999999999999997,0.48333333333333334,rrmpg_hbvedu,seasonal_climatology,False
